author_name, affiliation, paper_title, paper_url, year_of_conference
"Blai Bonet",,"Compilation of Query-Rewriting Problems into Tractable Fragments of Propositional Logic",2006/aaai06-036.php,2006
"María Esther Vidal",,"Compilation of Query-Rewriting Problems into Tractable Fragments of Propositional Logic",2006/aaai06-036.php,2006
"Chitta Baral",,"Goal Specification, Non-Determinism and Quantifying over Policies",2006/aaai06-037.php,2006
"Jicheng Zhao",,"Goal Specification, Non-Determinism and Quantifying over Policies",2006/aaai06-037.php,2006
"Thomas Eiter",,"Forgetting and Conflict Resolving in Disjunctive Logic Programming",2006/aaai06-038.php,2006
"Kewen Wang",,"Forgetting and Conflict Resolving in Disjunctive Logic Programming",2006/aaai06-038.php,2006
"Martin Gebser",,"Elementary Sets of Logic Programs",2006/aaai06-039.php,2006
"Joohyung Lee",,"Elementary Sets of Logic Programs",2006/aaai06-039.php,2006
"Yuliya Lierler",,"Elementary Sets of Logic Programs",2006/aaai06-039.php,2006
"Georg Gottlob",,"Bounded Treewidth as a Key to Tractability of Knowledge Representation and Reasoning",2006/aaai06-040.php,2006
"Reinhard Pichler",,"Bounded Treewidth as a Key to Tractability of Knowledge Representation and Reasoning",2006/aaai06-040.php,2006
"Fang Wei",,"Bounded Treewidth as a Key to Tractability of Knowledge Representation and Reasoning",2006/aaai06-040.php,2006
"Aaron Hunter",,"Belief Change in the Context of Fallible Actions and Observations",2006/aaai06-041.php,2006
"James P. Delgrande",,"Belief Change in the Context of Fallible Actions and Observations",2006/aaai06-041.php,2006
"Gerhard Lakemeyer",,"Towards an Axiom System for Default Logic",2006/aaai06-042.php,2006
"Hector J. Levesque",,"Towards an Axiom System for Default Logic",2006/aaai06-042.php,2006
"Thomas Meyer",,"Finding Maximally Satisfiable Terminologies for the Description Logic ALC",2006/aaai06-043.php,2006
"Kevin Lee",,"Finding Maximally Satisfiable Terminologies for the Description Logic ALC",2006/aaai06-043.php,2006
"Richard Booth",,"Finding Maximally Satisfiable Terminologies for the Description Logic ALC",2006/aaai06-043.php,2006
"Jeff Z. Pan",,"Finding Maximally Satisfiable Terminologies for the Description Logic ALC",2006/aaai06-043.php,2006
"Magdalena Ortiz",,"Characterizing Data Complexity for Conjunctive Query Answering in Expressive Description Logics",2006/aaai06-044.php,2006
"Diego Calvanese",,"Characterizing Data Complexity for Conjunctive Query Answering in Expressive Description Logics",2006/aaai06-044.php,2006
"Thomas Eiter",,"Characterizing Data Complexity for Conjunctive Query Answering in Expressive Description Logics",2006/aaai06-044.php,2006
"Guilin Qi",,"Merging Stratified Knowledge Bases under Constraints",2006/aaai06-045.php,2006
"Weiru Liu",,"Merging Stratified Knowledge Bases under Constraints",2006/aaai06-045.php,2006
"David A. Bell",,"Merging Stratified Knowledge Bases under Constraints",2006/aaai06-045.php,2006
"Stephan Schiffel",,"Reconciling Situation Calculus and Fluent Calculus",2006/aaai06-046.php,2006
"Michael Thielscher",,"Reconciling Situation Calculus and Fluent Calculus",2006/aaai06-046.php,2006
"Ke Wang",,"Classification Spanning Private Databases",2006/aaai06-047.php,2006
"Yabo Xu",,"Classification Spanning Private Databases",2006/aaai06-047.php,2006
"Rong She",,"Classification Spanning Private Databases",2006/aaai06-047.php,2006
"Philip S. Yu",,"Classification Spanning Private Databases",2006/aaai06-047.php,2006
"Michael Wooldridge",,"On the Complexity of Linking Deductive and Abstract Argument Systems",2006/aaai06-048.php,2006
"Paul E. Dunne",,"On the Complexity of Linking Deductive and Abstract Argument Systems",2006/aaai06-048.php,2006
"Simon Parsons",,"On the Complexity of Linking Deductive and Abstract Argument Systems",2006/aaai06-048.php,2006
"Peter Z. Yeh",,"A Unified Knowledge Based Approach for Sense Disambiguation and Semantic Role Labeling",2006/aaai06-049.php,2006
"Bruce Porter",,"A Unified Knowledge Based Approach for Sense Disambiguation and Semantic Role Labeling",2006/aaai06-049.php,2006
"Ken Barker",,"A Unified Knowledge Based Approach for Sense Disambiguation and Semantic Role Labeling",2006/aaai06-049.php,2006
"Fabrizio Angiulli",,"Clustering by Exceptions",2006/aaai06-050.php,2006
"Sooraj Bhat",,"On the Difficulty of Modular Reinforcement Learning for Real-World Partial Programming",2006/aaai06-051.php,2006
"Charles L. Isbell",,"On the Difficulty of Modular Reinforcement Learning for Real-World Partial Programming",2006/aaai06-051.php,2006
"Jr.",,"On the Difficulty of Modular Reinforcement Learning for Real-World Partial Programming",2006/aaai06-051.php,2006
"Michael Mateas",,"On the Difficulty of Modular Reinforcement Learning for Real-World Partial Programming",2006/aaai06-051.php,2006
"Yaxin Bi",,"On Combining Multiple Classifiers Using an Evidential Approach",2006/aaai06-052.php,2006
"Sally McClean",,"On Combining Multiple Classifiers Using an Evidential Approach",2006/aaai06-052.php,2006
"Terry Anderson",,"On Combining Multiple Classifiers Using an Evidential Approach",2006/aaai06-052.php,2006
"Guang Dai",,"Tensor Embedding Methods",2006/aaai06-053.php,2006
"Dit-Yan Yeung",,"Tensor Embedding Methods",2006/aaai06-053.php,2006
"Ian Davidson",,"Identifying and Generating Easy Sets of Constraints for Clustering",2006/aaai06-054.php,2006
"S. S. Ravi",,"Identifying and Generating Easy Sets of Constraints for Clustering",2006/aaai06-054.php,2006
"Chris Ding",,"Nonnegative Matrix Factorization and Probabilistic Latent Semantic Indexing: Equivalence Chi-Square Statistic, and a Hybrid Method",2006/aaai06-055.php,2006
"Tao Li",,"Nonnegative Matrix Factorization and Probabilistic Latent Semantic Indexing: Equivalence Chi-Square Statistic, and a Hybrid Method",2006/aaai06-055.php,2006
"Wei Peng",,"Nonnegative Matrix Factorization and Probabilistic Latent Semantic Indexing: Equivalence Chi-Square Statistic, and a Hybrid Method",2006/aaai06-055.php,2006
"Saher Esmeir",,"Anytime Induction of Decision Trees: An Iterative Improvement Approach",2006/aaai06-056.php,2006
"Shaul Markovitch",,"Anytime Induction of Decision Trees: An Iterative Improvement Approach",2006/aaai06-056.php,2006
"Alborz Geramifard",,"Incremental Least-Squares Temporal Difference Learning",2006/aaai06-057.php,2006
"Michael Bowling",,"Incremental Least-Squares Temporal Difference Learning",2006/aaai06-057.php,2006
"Richard S. Sutton",,"Incremental Least-Squares Temporal Difference Learning",2006/aaai06-057.php,2006
"Nela Gurevich",,"Active Learning with Near Misses",2006/aaai06-058.php,2006
"Shaul Markovitch",,"Active Learning with Near Misses",2006/aaai06-058.php,2006
"Ehud Rivlin",,"Active Learning with Near Misses",2006/aaai06-058.php,2006
"Christopher Hundt",,"Representing Systems with Hidden State",2006/aaai06-059.php,2006
"Prakash Panagaden",,"Representing Systems with Hidden State",2006/aaai06-059.php,2006
"Joelle Pineau",,"Representing Systems with Hidden State",2006/aaai06-059.php,2006
"Doina Precup",,"Representing Systems with Hidden State",2006/aaai06-059.php,2006
"Michael R. James",,"Improving Approximate Value Iteration Using Memories and Predictive State Representations",2006/aaai06-060.php,2006
"Ton Wessling",,"Improving Approximate Value Iteration Using Memories and Predictive State Representations",2006/aaai06-060.php,2006
"Nikos Vlassis",,"Improving Approximate Value Iteration Using Memories and Predictive State Representations",2006/aaai06-060.php,2006
"Charles Kemp",,"Learning Systems of Concepts with an Infinite Relational Model",2006/aaai06-061.php,2006
"Joshua B. Tenenbaum",,"Learning Systems of Concepts with an Infinite Relational Model",2006/aaai06-061.php,2006
"Thomas L. Griffiths",,"Learning Systems of Concepts with an Infinite Relational Model",2006/aaai06-061.php,2006
"Takeshi Yamada",,"Learning Systems of Concepts with an Infinite Relational Model",2006/aaai06-061.php,2006
"Naonori Ueda",,"Learning Systems of Concepts with an Infinite Relational Model",2006/aaai06-061.php,2006
"Niels Landwehr",,"kFOIL: Learning Simple Relational Kernels",2006/aaai06-062.php,2006
"Andrea Passerini",,"kFOIL: Learning Simple Relational Kernels",2006/aaai06-062.php,2006
"Luc De Raedt",,"kFOIL: Learning Simple Relational Kernels",2006/aaai06-062.php,2006
"Paolo Frasconi",,"kFOIL: Learning Simple Relational Kernels",2006/aaai06-062.php,2006
"Niklas Lavesson",,"Quantifying the Impact of Learning Algorithm Parameter Tuning",2006/aaai06-063.php,2006
"Paul Davidsson",,"Quantifying the Impact of Learning Algorithm Parameter Tuning",2006/aaai06-063.php,2006
"Su-In Lee",,"Efficient L1 Regularized Logistic Regression",2006/aaai06-064.php,2006
"Honglak Lee",,"Efficient L1 Regularized Logistic Regression",2006/aaai06-064.php,2006
"Pieter Abbeel",,"Efficient L1 Regularized Logistic Regression",2006/aaai06-064.php,2006
"Andrew Y. Ng",,"Efficient L1 Regularized Logistic Regression",2006/aaai06-064.php,2006
"Jinyan Li",,"Minimum Description Length Principle: Generators Are Preferable to Closed Patterns",2006/aaai06-065.php,2006
"Haiquan Li",,"Minimum Description Length Principle: Generators Are Preferable to Closed Patterns",2006/aaai06-065.php,2006
"Limsoon Wong",,"Minimum Description Length Principle: Generators Are Preferable to Closed Patterns",2006/aaai06-065.php,2006
"Jian Pei",,"Minimum Description Length Principle: Generators Are Preferable to Closed Patterns",2006/aaai06-065.php,2006
"Guozhu Dong",,"Minimum Description Length Principle: Generators Are Preferable to Closed Patterns",2006/aaai06-065.php,2006
"Yaxin Liu",,"Value-Function-Based Transfer for Reinforcement Learning Using Structure Mapping",2006/aaai06-066.php,2006
"Peter Stone",,"Value-Function-Based Transfer for Reinforcement Learning Using Structure Mapping",2006/aaai06-066.php,2006
"Yi Liu",,"Semi-supervised Multi-label Learning by Constrained Non-negative Matrix Factorization",2006/aaai06-067.php,2006
"Rong Jin",,"Semi-supervised Multi-label Learning by Constrained Non-negative Matrix Factorization",2006/aaai06-067.php,2006
"Liu Yang",,"Semi-supervised Multi-label Learning by Constrained Non-negative Matrix Factorization",2006/aaai06-067.php,2006
"Richard Maclin",,"A Simple and Effective Method for Incorporating Advice into Kernel Methods",2006/aaai06-068.php,2006
"Jude Shavlik",,"A Simple and Effective Method for Incorporating Advice into Kernel Methods",2006/aaai06-068.php,2006
"Trevor Walker",,"A Simple and Effective Method for Incorporating Advice into Kernel Methods",2006/aaai06-068.php,2006
