full_name,f_name,affiliation,paper_title,paper_url,year
Martin C. Cooper,martin,,A Dichotomy for 2-Constraint Forbidden CSP Patterns,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/4960,2012
Guillaume Escamocher,guillaume,,A Dichotomy for 2-Constraint Forbidden CSP Patterns,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/4960,2012
Ariel Felner,ariel,,Partial-Expansion A* with Selective Node Generation,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/5036,2012
Meir Goldenberg,meir,,Partial-Expansion A* with Selective Node Generation,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/5036,2012
Guni Sharon,guni,,Partial-Expansion A* with Selective Node Generation,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/5036,2012
Roni Stern,roni,,Partial-Expansion A* with Selective Node Generation,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/5036,2012
Tal Beja,tal,,Partial-Expansion A* with Selective Node Generation,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/5036,2012
Nathan Sturtevant,nathan,,Partial-Expansion A* with Selective Node Generation,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/5036,2012
Jonathan Schaeffer,jonathan,,Partial-Expansion A* with Selective Node Generation,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/5036,2012
Robert Holte,robert,,Partial-Expansion A* with Selective Node Generation,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/5036,2012
Alex Fukunaga,alex,,"Iterative Resource Allocation for Memory Intensive Parallel Search Algorithms on Clouds, Grids, and Shared Clusters",http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/5054,2012
Akihiro Kishimoto,akihiro,,"Iterative Resource Allocation for Memory Intensive Parallel Search Algorithms on Clouds, Grids, and Shared Clusters",http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/5054,2012
Adi Botea,adi,,"Iterative Resource Allocation for Memory Intensive Parallel Search Algorithms on Clouds, Grids, and Shared Clusters",http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/5054,2012
