"Qiang Liu, Shu Wu, Liang Wang, Tieniu Tan",Predicting the Next Location: A Recurrent Model with Spatial and Temporal Contexts,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/11900,2016
"Ye Liu, Luming Zhang, Liqiang Nie, Yan Yan, David S. Rosenblum",Fortune Teller: Predicting Your Career Path,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/11885,2016
"Suhas Ranganath, Fred Morstatter, Xia Hu, Jiliang Tang, Suhang Wang, Huan Liu",Predicting Online Protest Participation of Social Media Users,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12289,2016
"Yafeng Ren, Yue Zhang, Meishan Zhang, Donghong Ji",Context-Sensitive Twitter Sentiment Classification Using Neural Network,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/11922,2016
"Mehdi Samadi, Partha Talukdar, Manuela Veloso, Manuel Blum",ClaimEval: Integrated and Flexible Framework for Claim Evaluation Using Credibility of Sources,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12397,2016
"Suvash Sedhain, Aditya Krishna Menon, Scott Sanner, Darius Braziunas",On the Effectiveness of Linear Models for One-Class Collaborative Filtering,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12333,2016
"SungRyull Sohn, Hyunwoo Kim, Junmo Kim",Supervised Hashing via Uncorrelated Component Analysis,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/11748,2016
"Niket Tandon, Charles Hariman, Jacopo Urbani, Anna Rohrbach, Marcus Rohrbach, Gerhard Weikum",Commonsense in Parts: Mining Part-Whole Relations from the Web and Image Tags,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12337,2016
"Jiliang Tang, Suhang Wang, Xia Hu, Dawei Yin, Yingzhou Bi, Yi Chang, Huan Liu",Recommendation with Social Dimensions,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/11962,2016
"Jacopo Urbani, Ceriel Jacobs, Markus Krötzsch",Column-Oriented Datalog Materialization for Large Knowledge Graphs,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12341,2016
"Xiao Wang, Di Jin, Xiaochun Cao, Liang Yang, Weixiong Zhang",Semantic Community Identification in Large Attribute Networks,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/11964,2016
"Bo Wu, Tao Mei, Wen-Huang Cheng, Yongdong Zhang",Unfolding Temporal Dynamics: Predicting Social Media Popularity Using Multi-scale Temporal Decomposition,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/11887,2016
"Le Wu, Yong Ge, Qi Liu, Enhong Chen, Bai Long, Zhenya Huang",Modeling Users' Preferences and Social Links in Social Networking Services: A Joint-Evolving Perspective,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12061,2016
"Tianxing Wu, Guilin Qi, Haofen Wang, Kang Xu, Xuan Cui",Cross-Lingual Taxonomy Alignment with Bilingual Biterm Topic Model,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12011,2016
"Liang Xie, Jialie Shen, Lei Zhu",Online Cross-Modal Hashing for Web Image Retrieval,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12125,2016
"Jinyoung Yeo, Jin-woo Park, Seung-won Hwang",Understanding Emerging Spatial Entities,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12327,2016
"Quanzeng You, Jiebo Luo, Hailin Jin, Jianchao Yang",Building a Large Scale Dataset for Image Emotion Recognition: The Fine Print and The Benchmark,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12272,2016
"Shenglin Zhao, Tong Zhao, Haiqin Yang, Michael R. Lyu, Irwin King",STELLAR: Spatial-Temporal Latent Ranking for Successive Point-of-Interest Recommendation,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12249,2016
"Owain Evans, Andreas Stuhlmueller, Noah Goodman","Learning the Preferences of Ignorant,  Inconsistent Agents",http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12476,2016
"Taiki Miyanishi, Jun-ichiro Hirayama, Quan Kong, Takuya Maekawa, Hiroki Moriya, Takayuki Suyama",Egocentric Video Search via Physical Interactions,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12355,2016
