Alain Vanasse,,Survival Prediction by an Integrated Learning Criterion on Intermittently Varying Healthcare Data,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/11873,2016
Josiane Courteau,,Survival Prediction by an Integrated Learning Criterion on Intermittently Varying Healthcare Data,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/11873,2016
Shengrui Wang,,Survival Prediction by an Integrated Learning Criterion on Intermittently Varying Healthcare Data,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/11873,2016
Chuan Zhou,,On the Minimum Differentially Resolving Set Problem for Diffusion Source Inference in Networks,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12230,2016
Wei-Xue Lu,,On the Minimum Differentially Resolving Set Problem for Diffusion Source Inference in Networks,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12230,2016
Peng Zhang,,On the Minimum Differentially Resolving Set Problem for Diffusion Source Inference in Networks,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12230,2016
Jia Wu,,On the Minimum Differentially Resolving Set Problem for Diffusion Source Inference in Networks,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12230,2016
Yue Hu,,On the Minimum Differentially Resolving Set Problem for Diffusion Source Inference in Networks,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12230,2016
Li Guo,,On the Minimum Differentially Resolving Set Problem for Diffusion Source Inference in Networks,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12230,2016
Mohammad Akbari,,From Tweets to Wellness: Wellness Event Detection from Twitter Streams,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/11931,2016
Xia Hu,,From Tweets to Wellness: Wellness Event Detection from Twitter Streams,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/11931,2016
Nie Liqiang,,From Tweets to Wellness: Wellness Event Detection from Twitter Streams,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/11931,2016
Tat-Seng Chua,,From Tweets to Wellness: Wellness Event Detection from Twitter Streams,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/11931,2016
Prakhar Biyani,,"""8 Amazing Secrets for Getting More Clicks"": Detecting Clickbaits in News Streams Using Article Informality",http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/11807,2016
Kostas Tsioutsiouliklis,,"""8 Amazing Secrets for Getting More Clicks"": Detecting Clickbaits in News Streams Using Article Informality",http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/11807,2016
John Blackmer,,"""8 Amazing Secrets for Getting More Clicks"": Detecting Clickbaits in News Streams Using Article Informality",http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/11807,2016
Bor-Chun Chen,,Business-Aware Visual Concept Discovery from Social Media for Multimodal Business Venue Recognition,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12217,2016
Yan-Ying Chen,,Business-Aware Visual Concept Discovery from Social Media for Multimodal Business Venue Recognition,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12217,2016
Francine Chen,,Business-Aware Visual Concept Discovery from Social Media for Multimodal Business Venue Recognition,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12217,2016
Dhiraj Joshi,,Business-Aware Visual Concept Discovery from Social Media for Multimodal Business Venue Recognition,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12217,2016
