,"Ramón Béjar and Felip Many&eagrave","Solving the Round Robin Problem Using Propositional Logic",2000/aaai00-040.php,2000
," di Roma "La Sapienza"","Compilability of Abduction",2000/aaai00-054.php,2000
," di Roma "La Sapienza"","Answering Queries Using Views over Description Logics Knowledge Bases",2000/aaai00-059.php,2000
," di Genova","Planning as Satisfiability in Nondeterministic Domains",2000/aaai00-115.php,2000
," degli Studi di Roma "La Sapienza"","Open World Planning in the Situation Calculus",2000/aaai00-116.php,2000
," di Brescia","Discovering State Constraints in DISCOPLAN: Some New Results",2000/aaai00-117.php,2000
," Massimiliano Carrara","Formalizing Ontological Commitments",1994/aaai94-085.php,1994
," J. Indigo Thomas and Members of the Computer Vision Laboratory,  University of Massachusetts","Computer Vision Research at the University of Massachusetts",1993/aaai93-134.php,1993
," Katsuhiko Tsujino and Shogo Nishida Mitsubishi Electric Corporation","Learning to Learn Decision Trees",1992/aaai92-014.php,1992
